Frame ID,QR id,QR 2D,QR 3D
397,3,"[[792.0, 44.0], [840.0, 42.0], [839.0, 93.0], [792.0, 95.0]]","[2.93500430829579, -170.23769204906762, -5.04551288045899, -3.954593400914733]"
398,3,"[[850.0, 44.0], [902.0, 43.0], [901.0, 97.0], [850.0, 99.0]]","[2.777428353390239, -172.34917209283861, -3.2206577263454497, -2.9496334506185953]"
399,3,"[[888.0, 47.0], [942.0, 45.0], [942.0, 101.0], [888.0, 103.0]]","[2.727613710568501, -173.19298551327483, -0.3992574986756239, -2.795879109745863]"
418,2,"[[273.0, 63.0], [305.0, 62.0], [304.0, 102.0], [274.0, 103.0]]","[3.5640638607440924, -148.01914978706387, -44.52210419551819, -19.090959223098416]"
422,2,"[[604.0, 61.0], [634.0, 57.0], [630.0, 98.0], [600.0, 101.0]]","[3.4908085591219016, -169.5590356491612, 49.7368976528288, 12.428820684323856]"
422,5,"[[69.0, 77.0], [87.0, 78.0], [87.0, 96.0], [69.0, 95.0]]","[8.265937679729408, -172.81477541584314, -4.104767991346888, 2.2728809293278713]"
423,2,"[[629.0, 64.0], [660.0, 61.0], [656.0, 102.0], [625.0, 104.0]]","[3.5199930158154173, -166.84589700318492, 48.68823394731994, 13.84421251647401]"
424,2,"[[680.0, 58.0], [711.0, 55.0], [706.0, 98.0], [675.0, 100.0]]","[3.4035562845114327, -162.7168162516162, 54.73156819525767, 18.526208972422015]"
425,2,"[[723.0, 68.0], [754.0, 65.0], [750.0, 110.0], [718.0, 111.0]]","[3.3180027639908163, -157.25005599956364, 58.42565674473277, 22.064243310526376]"
426,2,"[[782.0, 64.0], [815.0, 59.0], [811.0, 104.0], [777.0, 108.0]]","[3.3175481961218156, -162.7632154499686, 61.40498110525078, 18.19242430314828]"
426,5,"[[276.0, 117.0], [293.0, 118.0], [293.0, 134.0], [276.0, 132.0]]","[8.135965139590954, 167.35065706457598, -15.09677158345323, 1.2564028539804533]"
427,2,"[[789.0, 47.0], [822.0, 40.0], [818.0, 87.0], [785.0, 92.0]]","[3.234375411870476, -161.08453792773017, 64.6446621357974, 19.412278152058327]"
427,5,"[[298.0, 110.0], [316.0, 111.0], [314.0, 127.0], [298.0, 125.0]]","[8.075969759140076, -140.00392623076854, -12.859948171911995, 1.7186233978165195]"
428,2,"[[787.0, 28.0], [820.0, 21.0], [815.0, 71.0], [783.0, 75.0]]","[3.105200434573569, -153.26645572363512, 66.31509168498698, 26.56501740513378]"
428,5,"[[305.0, 94.0], [322.0, 95.0], [321.0, 111.0], [305.0, 110.0]]","[8.34077078759024, -146.11279787877763, -12.571255959077941, -0.07488341543257801]"
429,2,"[[798.0, 33.0], [830.0, 26.0], [826.0, 76.0], [793.0, 81.0]]","[3.0715838759026335, -153.6842878306599, 67.89444861720501, 26.542885909062182]"
429,5,"[[324.0, 96.0], [341.0, 97.0], [341.0, 113.0], [325.0, 113.0]]","[8.271928191503507, -150.64941701428702, -3.9006951772636675, 0.48178606289720904]"
431,5,"[[379.0, 91.0], [395.0, 92.0], [395.0, 108.0], [379.0, 108.0]]","[8.442179962601237, -171.79856402644793, -8.561405172932355, -0.5612976545480612]"
431,4,"[[235.0, 158.0], [244.0, 158.0], [245.0, 167.0], [236.0, 167.0]]","[15.089905373804033, -156.03194381013495, 1.5201839892382545, 0.06507754850980346]"
434,5,"[[423.0, 128.0], [440.0, 127.0], [441.0, 143.0], [424.0, 144.0]]","[7.81500134670639, 169.0513950397524, -0.8355371420004141, -3.575855746057451]"
435,5,"[[422.0, 136.0], [439.0, 135.0], [440.0, 152.0], [424.0, 153.0]]","[7.922011808169454, -158.18439390070398, 8.016354161993231, -1.6221290174824494]"
436,2,"[[889.0, 32.0], [929.0, 16.0], [926.0, 82.0], [888.0, 94.0]]","[2.3783401285620434, -151.46666146001945, 79.9077278524158, 28.352991185992053]"
